iter	RMSE
0	0.5086297358
1	0.5048459148
2	0.5006836568
3	0.4974544094
4	0.4940412341
5	0.4906428258
6	0.4883299754
7	0.4860088763
8	0.4835549551
9	0.48118413
10	0.4789251766
11	0.4768839705
12	0.4751572371
13	0.4732782756
14	0.4713919163
15	0.469741975
16	0.4680511982
17	0.4665038251
18	0.4650049718
19	0.4637887604
20	0.462555778
21	0.4612903491
22	0.4601544238
23	0.4590250281
24	0.4582260001
25	0.4571374662
26	0.4560402463
27	0.4551501582
28	0.454255876
29	0.4534253026
30	0.4525634718
31	0.4518500765
32	0.4510119635
33	0.4501672547
34	0.4494634517
35	0.4486963157
36	0.4481259679
37	0.4474803093
38	0.446736243
39	0.4460244552
40	0.4452572469
41	0.4447450456
42	0.444045857
43	0.4434406743
44	0.4428631473
45	0.4422804441
46	0.4418308305
47	0.4412565456
48	0.440849177
49	0.440367032
50	0.4398165269
51	0.4393397528
52	0.4389405303
53	0.4382961149
54	0.4377644589
55	0.4371650931
56	0.4368153158
57	0.4363478909
58	0.4359076241
59	0.435425292
60	0.4352299144
61	0.4346479385
62	0.4342760039
63	0.4340826217
64	0.4337383404
65	0.4334334232
66	0.4328435586
67	0.4326131811
68	0.4322215584
69	0.4319256733
70	0.4316450039
71	0.4313127887
72	0.4309469152
73	0.4305699599
74	0.4302737446
75	0.4299026566
76	0.4294083235
77	0.429082908
78	0.4287860292
79	0.4284350751
80	0.4282636315
81	0.4278543006
82	0.4273923511
83	0.4270593507
84	0.4265548148
85	0.4263333164
86	0.4259943995
87	0.4255518623
88	0.425078063
89	0.4246520926
90	0.4244269656
91	0.4240379223
92	0.4237481047
93	0.4234397506
94	0.4230534579
95	0.4227016364
96	0.4223185286
97	0.4221349749
98	0.4218257683
99	0.4213365684
100	0.4211170085
101	0.4207778934
102	0.4204571492
103	0.4199848179
104	0.4196368614
105	0.4192619068
106	0.4190678494
107	0.4185892817
108	0.4183353449
109	0.4181203805
110	0.4178337123
111	0.4176363117
112	0.417457681
113	0.4171334912
114	0.4167400073
115	0.4164888919
116	0.4163273735
117	0.4159549386
118	0.4156144098
119	0.4150592989
120	0.4148056515
121	0.4145498762
122	0.4143178919
123	0.4139753414
124	0.4137016951
125	0.4135054205
126	0.4131514137
127	0.4129443993
128	0.4127267455
129	0.4123372206
130	0.4120502367
131	0.4118505361
132	0.4115258409
133	0.4110665209
134	0.4107292689
135	0.4104199356
136	0.4102381099
137	0.40989798
138	0.4097083601
139	0.4094398662
140	0.4091905019
141	0.4089017956
142	0.4087603695
143	0.4085069995
144	0.4083062168
145	0.4079624723
146	0.4077397434
147	0.4072967861
148	0.407056812
149	0.4066480778
150	0.4063317275
151	0.4061075807
152	0.4057169433
153	0.4054779067
154	0.405275943
155	0.4048959985
156	0.4047206334
157	0.4045599975
158	0.4044523451
159	0.404077622
160	0.403706685
161	0.4034589477
162	0.4031438368
163	0.4028040663
164	0.4023765966
165	0.4018899951
166	0.4016416486
167	0.4012512842
168	0.4009485087
169	0.4007690129
170	0.4003677078
171	0.3999642618
172	0.3998145928
173	0.399572771
174	0.3992229564
175	0.3990674344
176	0.398917505
177	0.3985206238
178	0.3981100966
179	0.3977129257
180	0.397597859
181	0.3973279011
182	0.3971411372
183	0.3968945568
184	0.396603648
185	0.3962479532
186	0.395927801
187	0.3956844595
188	0.3953100624
189	0.3950587215
190	0.394811555
191	0.3944541774
192	0.3941906702
193	0.3937834081
194	0.3934886941
195	0.3933289695
196	0.3929951678
197	0.3927337592
198	0.3923325378
199	0.39210357
200	0.3918150109
201	0.3913984087
202	0.3910426532
203	0.3906883347
204	0.3904074704
205	0.3902235373
206	0.3899318639
207	0.3896575069
208	0.3893345831
209	0.3890585515
210	0.3888020409
211	0.3886539242
212	0.3883001505
213	0.3879572117
214	0.3878979516
215	0.387837268
216	0.3875685929
217	0.3872571506
218	0.3872451826
219	0.3868356077
220	0.3865233106
221	0.3860350509
222	0.385676819
223	0.3854414123
224	0.3850161009
225	0.3848282136
226	0.3845112691
227	0.3841688956
228	0.3838130498
229	0.3833686231
230	0.3830551945
231	0.3827827738
232	0.3824588078
233	0.3824482941
234	0.3820866669
235	0.3818357605
236	0.3813593548
237	0.3811657804
238	0.3808930992
239	0.3805835421
240	0.3801554918
241	0.3799668958
242	0.3794195715
243	0.3790843597
244	0.378897687
245	0.3786058834
246	0.3781855526
247	0.377662089
248	0.3774281604
249	0.3773739883
250	0.3771598583
251	0.3767882446
252	0.3765092307
253	0.3761979848
254	0.3759256945
255	0.375427735
256	0.3750734107
257	0.3748644181
258	0.3746940275
259	0.3746423692
260	0.3742298489
261	0.3739289644
262	0.373562
263	0.3731740873
264	0.3730329235
265	0.3726594081
266	0.3723550361
267	0.3721668504
268	0.3719551585
269	0.3715612399
270	0.3712804219
271	0.3710639899
272	0.3707146757
273	0.3703981567
274	0.3700614494
275	0.369714437
276	0.3693172896
277	0.369002971
278	0.3687465632
279	0.368444394
280	0.3682188717
281	0.3678197517
282	0.3675788369
283	0.3672879947
284	0.3670189047
285	0.3666713388
286	0.3663614724
287	0.3663411501
288	0.3661197689
289	0.3657843708
290	0.3654287986
291	0.3650374002
292	0.3647993183
293	0.3647550226
294	0.3644411821
295	0.3640046589
296	0.3636541607
297	0.3633484327
298	0.3630981688
299	0.3627629848
300	0.3624575181
301	0.3622836597
302	0.3619620831
303	0.3615709564
304	0.3612499991
305	0.3608550849
306	0.3605532203
307	0.3601587228
308	0.3598293555
309	0.3595287295
310	0.3595050319
311	0.3593130886
312	0.3589856021
313	0.3585923775
314	0.3583801042
315	0.3580929392
316	0.3577818624
317	0.3574368102
318	0.3571861743
319	0.356825641
320	0.3565087144
321	0.3562223669
322	0.3560453815
323	0.3557826151
324	0.3555928814
325	0.3554428993
326	0.3551662846
327	0.3550518977
328	0.3548103671
329	0.3544127154
330	0.3542635229
331	0.3539571209
332	0.3537594319
333	0.3535722897
334	0.3534032375
335	0.3531963793
336	0.3529441764
337	0.3526510324
338	0.3523885968
339	0.3521477705
340	0.3518293426
341	0.3514158287
342	0.3511553746
343	0.3508361029
344	0.3505646235
345	0.3503120208
346	0.3500587169
347	0.3496082357
348	0.3492619843
349	0.3490074669
350	0.3488204144
351	0.3486133367
352	0.3485038955
353	0.3483198599
354	0.3480744904
355	0.3478143412
356	0.34747186
357	0.3472378075
358	0.3469374376
359	0.3467546558
360	0.3463188452
361	0.3460457075
362	0.3459121822
363	0.3456843447
364	0.345339227
365	0.345141769
366	0.3447646569
367	0.3445860789
